freq,psd_x,psd_y,psd_z,psd_xyz
5.5,13922.0,1392.2,696.1,15314.2
5.6,13985.5,1398.6,699.3,15384.1
5.7,14049.5,1404.9,702.5,15454.4
5.8,14113.8,1411.4,705.7,15525.2
5.9,14178.6,1417.9,708.9,15596.5
6.0,14243.9,1424.4,712.2,15668.3
6.1,14309.6,1431.0,715.5,15740.5
6.2,14375.7,1437.6,718.8,15813.3
6.3,14442.3,1444.2,722.1,15886.5
6.4,14509.3,1450.9,725.5,15960.2
6.5,14576.8,1457.7,728.8,16034.5
6.6,14644.8,1464.5,732.2,16109.2
6.7,14713.2,1471.3,735.7,16184.5
6.8,14782.1,1478.2,739.1,16260.3
6.9,14851.5,1485.1,742.6,16336.6
7.0,14921.3,1492.1,746.1,16413.5
7.1,14991.7,1499.2,749.6,16490.8
7.2,15062.5,1506.3,753.1,16568.8
7.3,15133.8,1513.4,756.7,16647.2
7.4,15205.7,1520.6,760.3,16726.3
7.5,15278.0,1527.8,763.9,16805.8
7.6,15350.9,1535.1,767.5,16886.0
7.7,15424.2,1542.4,771.2,16966.7
7.8,15498.1,1549.8,774.9,17047.9
7.9,15572.5,1557.3,778.6,17129.8
8.0,15647.5,1564.7,782.4,17212.2
8.1,15722.9,1572.3,786.1,17295.2
8.2,15798.9,1579.9,789.9,17378.8
8.3,15875.5,1587.5,793.8,17463.0
8.4,15952.6,1595.3,797.6,17547.9
8.5,16030.3,1603.0,801.5,17633.3
8.6,16108.5,1610.8,805.4,17719.3
8.7,16187.3,1618.7,809.4,17806.0
8.8,16266.6,1626.7,813.3,17893.3
8.9,16346.6,1634.7,817.3,17981.2
9.0,16427.1,1642.7,821.4,18069.8
9.1,16508.2,1650.8,825.4,18159.0
9.2,16589.9,1659.0,829.5,18248.9
9.3,16672.2,1667.2,833.6,18339.5
9.4,16755.2,1675.5,837.8,18430.7
9.5,16838.7,1683.9,841.9,18522.5
9.6,16922.8,1692.3,846.1,18615.1
9.7,17007.6,1700.8,850.4,18708.4
9.8,17093.0,1709.3,854.7,18802.3
9.9,17179.0,1717.9,859.0,18897.0
10.0,17265.7,1726.6,863.3,18992.3
10.1,17353.1,1735.3,867.7,19088.4
10.2,17441.1,1744.1,872.1,19185.2
10.3,17529.7,1753.0,876.5,19282.7
10.4,17619.1,1761.9,881.0,19381.0
10.5,17709.1,1770.9,885.5,19480.0
10.6,17799.7,1780.0,890.0,19579.7
10.7,17891.1,1789.1,894.6,19680.2
10.8,17983.2,1798.3,899.2,19781.5
10.9,18076.0,1807.6,903.8,19883.6
11.0,18169.5,1817.0,908.5,19986.5
11.1,18263.7,1826.4,913.2,20090.1
11.2,18358.7,1835.9,917.9,20194.5
11.3,18454.4,1845.4,922.7,20299.8
11.4,18550.8,1855.1,927.5,20405.9
11.5,18648.0,1864.8,932.4,20512.8
11.6,18745.9,1874.6,937.3,20620.5
11.7,18844.6,1884.5,942.2,20729.1
11.8,18944.1,1894.4,947.2,20838.5
11.9,19044.4,1904.4,952.2,20948.8
12.0,19145.4,1914.5,957.3,21059.9
12.1,19247.3,1924.7,962.4,21172.0
12.2,19349.9,1935.0,967.5,21284.9
12.3,19453.4,1945.3,972.7,21398.7
12.4,19557.7,1955.8,977.9,21513.5
12.5,19662.9,1966.3,983.1,21629.1
12.6,19768.8,1976.9,988.4,21745.7
12.7,19875.7,1987.6,993.8,21863.2
12.8,19983.4,1998.3,999.2,21981.7
12.9,20091.9,2009.2,1004.6,22101.1
13.0,20201.4,2020.1,1010.1,22221.5
13.1,20311.7,2031.2,1015.6,22342.9
13.2,20423.0,2042.3,1021.1,22465.3
13.3,20535.1,2053.5,1026.8,22588.7
13.4,20648.2,2064.8,1032.4,22713.0
13.5,20762.2,2076.2,1038.1,22838.4
13.6,20877.2,2087.7,1043.9,22964.9
13.7,20993.1,2099.3,1049.7,23092.4
13.8,21109.9,2111.0,1055.5,23220.9
13.9,21227.7,2122.8,1061.4,23350.5
14.0,21346.6,2134.7,1067.3,23481.2
14.1,21466.4,2146.6,1073.3,23613.0
14.2,21587.2,2158.7,1079.4,23745.9
14.3,21709.0,2170.9,1085.4,23879.9
14.4,21831.9,2183.2,1091.6,24015.0
14.5,21955.8,2195.6,1097.8,24151.3
14.6,22080.7,2208.1,1104.0,24288.8
14.7,22206.7,2220.7,1110.3,24427.4
14.8,22333.8,2233.4,1116.7,24567.2
14.9,22462.0,2246.2,1123.1,24708.2
15.0,22591.3,2259.1,1129.6,24850.4
15.1,22721.6,2272.2,1136.1,24993.8
15.2,22853.2,2285.3,1142.7,25138.5
15.3,22985.8,2298.6,1149.3,25284.4
15.4,23119.6,2312.0,1156.0,25431.6
15.5,23254.6,2325.5,1162.7,25580.0
15.6,23390.7,2339.1,1169.5,25729.8
15.7,23528.1,2352.8,1176.4,25880.9
15.8,23666.6,2366.7,1183.3,26033.3
15.9,23806.4,2380.6,1190.3,26187.1
16.0,23947.4,2394.7,1197.4,26342.2
16.1,24089.7,2409.0,1204.5,26498.7
16.2,24233.2,2423.3,1211.7,26656.5
16.3,24378.0,2437.8,1218.9,26815.8
16.4,24524.1,2452.4,1226.2,26976.5
16.5,24671.5,2467.2,1233.6,27138.7
16.6,24820.3,2482.0,1241.0,27302.3
16.7,24970.4,2497.0,1248.5,27467.4
16.8,25121.8,2512.2,1256.1,27634.0
16.9,25274.6,2527.5,1263.7,27802.1
17.0,25428.8,2542.9,1271.4,27971.7
17.1,25584.5,2558.4,1279.2,28142.9
17.2,25741.5,2574.2,1287.1,28315.7
17.3,25900.0,2590.0,1295.0,28490.0
17.4,26060.0,2606.0,1303.0,28666.0
17.5,26221.4,2622.1,1311.1,28843.5
17.6,26384.3,2638.4,1319.2,29022.8
17.7,26548.8,2654.9,1327.4,29203.7
17.8,26714.8,2671.5,1335.7,29386.2
17.9,26882.3,2688.2,1344.1,29570.5
18.0,27051.4,2705.1,1352.6,29756.6
18.1,27222.1,2722.2,1361.1,29944.4
18.2,27394.5,2739.4,1369.7,30133.9
18.3,27568.4,2756.8,1378.4,30325.3
18.4,27744.0,2774.4,1387.2,30518.4
18.5,27921.3,2792.1,1396.1,30713.5
18.6,28100.3,2810.0,1405.0,30910.4
18.7,28281.0,2828.1,1414.1,31109.1
18.8,28463.5,2846.3,1423.2,31309.8
18.9,28647.7,2864.8,1432.4,31512.5
19.0,28833.7,2883.4,1441.7,31717.1
19.1,29021.5,2902.2,1451.1,31923.7
19.2,29211.2,2921.1,1460.6,32132.3
19.3,29402.7,2940.3,1470.1,32343.0
19.4,29596.1,2959.6,1479.8,32555.7
19.5,29791.4,2979.1,1489.6,32770.5
19.6,29988.6,2998.9,1499.4,32987.5
19.7,30187.8,3018.8,1509.4,33206.6
19.8,30389.0,3038.9,1519.4,33427.9
19.9,30592.1,3059.2,1529.6,33651.4
20.0,30797.4,3079.7,1539.9,33877.1
20.1,31004.6,3100.5,1550.2,34105.1
20.2,31214.0,3121.4,1560.7,34335.4
20.3,31425.5,3142.5,1571.3,34568.0
20.4,31639.1,3163.9,1582.0,34803.0
20.5,31854.9,3185.5,1592.7,35040.4
20.6,32073.0,3207.3,1603.6,35280.3
20.7,32293.2,3229.3,1614.7,35522.6
20.8,32515.8,3251.6,1625.8,35767.3
20.9,32740.6,3274.1,1637.0,36014.6
21.0,32967.7,3296.8,1648.4,36264.5
21.1,33197.3,3319.7,1659.9,36517.0
21.2,33429.2,3342.9,1671.5,36772.1
21.3,33663.5,3366.4,1683.2,37029.9
21.4,33900.3,3390.0,1695.0,37290.3
21.5,34139.6,3414.0,1707.0,37553.6
21.6,34381.4,3438.1,1719.1,37819.6
21.7,34625.8,3462.6,1731.3,38088.4
21.8,34872.8,3487.3,1743.6,38360.1
21.9,35122.5,3512.2,1756.1,38634.7
22.0,35374.8,3537.5,1768.7,38912.3
22.1,35629.8,3563.0,1781.5,39192.8
22.2,35887.6,3588.8,1794.4,39476.4
22.3,36148.2,3614.8,1807.4,39763.0
22.4,36411.6,3641.2,1820.6,40052.8
22.5,36677.9,3667.8,1833.9,40345.7
22.6,36947.2,3694.7,1847.4,40641.9
22.7,37219.3,3721.9,1861.0,40941.3
22.8,37494.5,3749.5,1874.7,41244.0
22.9,37772.8,3777.3,1888.6,41550.0
23.0,38054.1,3805.4,1902.7,41859.5
23.1,38338.5,3833.9,1916.9,42172.4
23.2,38626.2,3862.6,1931.3,42488.8
23.3,38917.1,3891.7,1945.9,42808.8
23.4,39211.2,3921.1,1960.6,43132.3
23.5,39508.7,3950.9,1975.4,43459.6
23.6,39809.6,3981.0,1990.5,43790.5
23.7,40113.9,4011.4,2005.7,44125.3
23.8,40421.6,4042.2,2021.1,44463.8
23.9,40733.0,4073.3,2036.6,44806.3
24.0,41047.9,4104.8,2052.4,45152.7
24.1,41366.4,4136.6,2068.3,45503.1
24.2,41688.7,4168.9,2084.4,45857.5
24.3,42014.7,4201.5,2100.7,46216.1
24.4,42344.5,4234.4,2117.2,46578.9
24.5,42678.2,4267.8,2133.9,46946.0
24.6,43015.8,4301.6,2150.8,47317.4
24.7,43357.4,4335.7,2167.9,47693.2
24.8,43703.1,4370.3,2185.2,48073.4
24.9,44052.9,4405.3,2202.6,48458.2
25.0,44406.9,4440.7,2220.3,48847.6
25.1,44765.2,4476.5,2238.3,49241.7
25.2,45127.7,4512.8,2256.4,49640.5
25.3,45494.7,4549.5,2274.7,50044.2
25.4,45866.1,4586.6,2293.3,50452.7
25.5,46242.1,4624.2,2312.1,50866.3
25.6,46622.6,4662.3,2331.1,51284.9
25.7,47007.9,4700.8,2350.4,51708.7
25.8,47397.9,4739.8,2369.9,52137.7
25.9,47792.7,4779.3,2389.6,52572.0
26.0,48192.5,4819.2,2409.6,53011.7
26.1,48597.2,4859.7,2429.9,53456.9
26.2,49007.0,4900.7,2450.4,53907.7
26.3,49422.0,4942.2,2471.1,54364.2
26.4,49842.2,4984.2,2492.1,54826.5
26.5,50267.8,5026.8,2513.4,55294.6
26.6,50698.8,5069.9,2534.9,55768.7
26.7,51135.3,5113.5,2556.8,56248.8
26.8,51577.4,5157.7,2578.9,56735.1
26.9,52025.2,5202.5,2601.3,57227.7
27.0,52478.8,5247.9,2623.9,57726.7
27.1,52938.4,5293.8,2646.9,58232.2
27.2,53403.9,5340.4,2670.2,58744.3
27.3,53875.5,5387.5,2693.8,59263.0
27.4,54353.3,5435.3,2717.7,59788.7
27.5,54837.5,5483.7,2741.9,60321.2
27.6,55328.1,5532.8,2766.4,60860.9
27.7,55825.2,5582.5,2791.3,61407.7
27.8,56329.0,5632.9,2816.4,61961.9
27.9,56839.5,5684.0,2842.0,62523.5
28.0,57357.0,5735.7,2867.8,63092.7
28.1,57881.4,5788.1,2894.1,63669.6
28.2,58413.0,5841.3,2920.7,64254.3
28.3,58951.9,5895.2,2947.6,64847.1
28.4,59498.2,5949.8,2974.9,65448.0
28.5,60051.9,6005.2,3002.6,66057.1
28.6,60613.4,6061.3,3030.7,66674.8
28.7,61182.7,6118.3,3059.1,67301.0
28.8,61759.9,6176.0,3088.0,67935.9
28.9,62345.2,6234.5,3117.3,68579.8
29.0,62938.8,6293.9,3146.9,69232.7
29.1,63540.8,6354.1,3177.0,69894.9
29.2,64151.3,6415.1,3207.6,70566.4
29.3,64770.6,6477.1,3238.5,71247.6
29.4,65398.7,6539.9,3269.9,71938.5
29.5,66035.8,6603.6,3301.8,72639.4
29.6,66682.2,6668.2,3334.1,73350.4
29.7,67338.0,6733.8,3366.9,74071.8
29.8,68003.3,6800.3,3400.2,74803.7
29.9,68678.4,6867.8,3433.9,75546.2
30.0,69363.4,6936.3,3468.2,76299.8
30.1,70058.6,7005.9,3502.9,77064.4
30.2,70764.1,7076.4,3538.2,77840.5
30.3,71480.1,7148.0,3574.0,78628.1
30.4,72206.8,7220.7,3610.3,79427.5
30.5,72944.5,7294.5,3647.2,80239.0
30.6,73693.3,7369.3,3684.7,81062.7
30.7,74453.6,7445.4,3722.7,81898.9
30.8,75225.4,7522.5,3761.3,82747.9
30.9,76009.0,7600.9,3800.5,83610.0
31.0,76804.8,7680.5,3840.2,84485.3
31.1,77612.8,7761.3,3880.6,85374.1
31.2,78433.4,7843.3,3921.7,86276.8
31.3,79266.8,7926.7,3963.3,87193.5
31.4,80113.3,8011.3,4005.7,88124.7
31.5,80973.2,8097.3,4048.7,89070.5
31.6,81846.7,8184.7,4092.3,90031.3
31.7,82734.0,8273.4,4136.7,91007.4
31.8,83635.6,8363.6,4181.8,91999.1
31.9,84551.6,8455.2,4227.6,93006.8
32.0,85482.4,8548.2,4274.1,94030.7
32.1,86428.3,8642.8,4321.4,95071.2
32.2,87389.6,8739.0,4369.5,96128.6
32.3,88366.7,8836.7,4418.3,97203.4
32.4,89359.8,8936.0,4468.0,98295.8
32.5,90369.4,9036.9,4518.5,99406.3
32.6,91395.7,9139.6,4569.8,100535.3
32.7,92439.1,9243.9,4622.0,101683.0
32.8,93500.0,9350.0,4675.0,102850.0
32.9,94578.8,9457.9,4728.9,104036.7
33.0,95675.9,9567.6,4783.8,105243.5
33.1,96791.6,9679.2,4839.6,106470.8
33.2,97926.4,9792.6,4896.3,107719.1
33.3,99080.7,9908.1,4954.0,108988.8
33.4,100255.0,10025.5,5012.7,110280.5
33.5,101449.6,10145.0,5072.5,111594.5
33.6,102665.0,10266.5,5133.2,112931.5
33.7,103901.7,10390.2,5195.1,114291.9
33.8,105160.2,10516.0,5258.0,115676.2
33.9,106440.9,10644.1,5322.0,117085.0
34.0,107744.4,10774.4,5387.2,118518.8
34.1,109071.2,10907.1,5453.6,119978.3
34.2,110421.8,11042.2,5521.1,121464.0
34.3,111796.8,11179.7,5589.8,122976.5
34.4,113196.7,11319.7,5659.8,124516.4
34.5,114622.2,11462.2,5731.1,126084.4
34.6,116073.7,11607.4,5803.7,127681.1
34.7,117552.0,11755.2,5877.6,129307.2
34.8,119057.6,11905.8,5952.9,130963.3
34.9,120591.1,12059.1,6029.6,132650.3
35.0,122153.4,12215.3,6107.7,134368.7
35.1,123745.0,12374.5,6187.2,136119.5
35.2,125366.6,12536.7,6268.3,137903.2
35.3,127018.9,12701.9,6350.9,139720.8
35.4,128702.8,12870.3,6435.1,141573.0
35.5,130418.9,13041.9,6520.9,143460.8
35.6,132168.0,13216.8,6608.4,145384.8
35.7,133951.0,13395.1,6697.5,147346.1
35.8,135768.6,13576.9,6788.4,149345.5
35.9,137621.8,13762.2,6881.1,151384.0
36.0,139511.4,13951.1,6975.6,153462.5
36.1,141438.2,14143.8,7071.9,155582.0
36.2,143403.3,14340.3,7170.2,157743.6
36.3,145407.5,14540.8,7270.4,159948.3
36.4,147451.9,14745.2,7372.6,162197.1
36.5,149537.5,14953.7,7476.9,164491.2
36.6,151665.2,15166.5,7583.3,166831.7
36.7,153836.2,15383.6,7691.8,169219.8
36.8,156051.5,15605.2,7802.6,171656.7
36.9,158312.4,15831.2,7915.6,174143.6
37.0,160619.8,16062.0,8031.0,176681.8
37.1,162975.1,16297.5,8148.8,179272.6
37.2,165379.5,16537.9,8269.0,181917.4
37.3,167834.2,16783.4,8391.7,184617.6
37.4,170340.5,17034.1,8517.0,187374.6
37.5,172899.8,17290.0,8645.0,190189.8
37.6,175513.4,17551.3,8775.7,193064.8
37.7,178182.8,17818.3,8909.1,196001.1
37.8,180909.4,18090.9,9045.5,199000.3
37.9,183694.7,18369.5,9184.7,202064.1
38.0,186540.2,18654.0,9327.0,205194.2
38.1,189447.6,18944.8,9472.4,208392.3
38.2,192418.4,19241.8,9620.9,211660.2
38.3,195454.3,19545.4,9772.7,214999.7
38.4,198557.1,19855.7,9927.9,218412.8
38.5,201728.5,20172.9,10086.4,221901.4
38.6,204970.4,20497.0,10248.5,225467.4
38.7,208284.5,20828.5,10414.2,229113.0
38.8,211672.9,21167.3,10583.6,232840.2
38.9,215137.5,21513.8,10756.9,236651.3
39.0,218680.3,21868.0,10934.0,240548.4
39.1,222303.5,22230.3,11115.2,244533.8
39.2,226009.0,22600.9,11300.5,248609.9
39.3,229799.2,22979.9,11490.0,252779.1
39.4,233676.3,23367.6,11683.8,257043.9
39.5,237642.6,23764.3,11882.1,261406.9
39.6,241700.4,24170.0,12085.0,265870.5
39.7,245852.3,24585.2,12292.6,270437.5
39.8,250100.6,25010.1,12505.0,275110.6
39.9,254447.9,25444.8,12722.4,279892.7
40.0,258896.8,25889.7,12944.8,284786.5
40.1,263450.1,26345.0,13172.5,289795.1
40.2,268110.3,26811.0,13405.5,294921.3
40.3,272880.3,27288.0,13644.0,300168.4
40.4,277763.0,27776.3,13888.1,305539.3
40.5,282761.2,28276.1,14138.1,311037.3
40.6,287877.9,28787.8,14393.9,316665.6
40.7,293116.0,29311.6,14655.8,322427.6
40.8,298478.8,29847.9,14923.9,328326.7
40.9,303969.2,30396.9,15198.5,334366.1
41.0,309590.5,30959.0,15479.5,340549.5
41.1,315345.8,31534.6,15767.3,346880.4
41.2,321238.4,32123.8,16061.9,353362.2
41.3,327271.6,32727.2,16363.6,359998.7
41.4,333448.7,33344.9,16672.4,366793.5
41.5,339773.0,33977.3,16988.6,373750.3
41.6,346247.8,34624.8,17312.4,380872.6
41.7,352876.7,35287.7,17643.8,388164.3
41.8,359662.8,35966.3,17983.1,395629.1
41.9,366609.6,36661.0,18330.5,403270.5
42.0,373720.4,37372.0,18686.0,411092.4
42.1,380998.5,38099.9,19049.9,419098.4
42.2,388447.2,38844.7,19422.4,427291.9
42.3,396069.7,39607.0,19803.5,435676.7
42.4,403869.1,40386.9,20193.5,444256.0
42.5,411848.5,41184.8,20592.4,453033.3
42.6,420010.7,42001.1,21000.5,462011.8
42.7,428358.6,42835.9,21417.9,471194.4
42.8,436894.8,43689.5,21844.7,480584.2
42.9,445621.7,44562.2,22281.1,490183.8
43.0,454541.5,45454.2,22727.1,499995.7
43.1,463656.4,46365.6,23182.8,510022.0
43.2,472967.8,47296.8,23648.4,520264.6
43.3,482477.4,48247.7,24123.9,530725.2
43.4,492186.1,49218.6,24609.3,541404.7
43.5,502094.6,50209.5,25104.7,552304.0
43.6,512203.1,51220.3,25610.2,563423.4
43.7,522511.3,52251.1,26125.6,574762.4
43.8,533018.5,53301.9,26650.9,586320.4
43.9,543723.4,54372.3,27186.2,598095.7
44.0,554623.8,55462.4,27731.2,610086.2
44.1,565717.2,56571.7,28285.9,622288.9
44.2,577000.0,57700.0,28850.0,634700.0
44.3,588468.1,58846.8,29423.4,647314.9
44.4,600116.2,60011.6,30005.8,660127.8
44.5,611938.2,61193.8,30596.9,673132.0
44.6,623927.1,62392.7,31196.4,686319.8
44.7,636074.5,63607.5,31803.7,699682.0
44.8,648371.3,64837.1,32418.6,713208.4
44.9,660806.7,66080.7,33040.3,726887.4
45.0,673369.0,67336.9,33668.5,740705.9
45.1,686044.9,68604.5,34302.2,754649.4
45.2,698819.7,69882.0,34941.0,768701.7
45.3,711677.5,71167.7,35583.9,782845.2
45.4,724600.5,72460.1,36230.0,797060.6
45.5,737569.7,73757.0,36878.5,811326.7
45.6,750564.2,75056.4,37528.2,825620.6
45.7,763561.8,76356.2,38178.1,839917.9
45.8,776538.4,77653.8,38826.9,854192.2
45.9,789468.4,78946.8,39473.4,868415.2
46.0,802324.7,80232.5,40116.2,882557.2
46.1,815078.6,81507.9,40753.9,896586.4
46.2,827699.7,82770.0,41385.0,910469.7
46.3,840156.6,84015.7,42007.8,924172.3
46.4,852416.3,85241.6,42620.8,937657.9
46.5,864444.5,86444.5,43222.2,950889.0
46.6,876206.3,87620.6,43810.3,963826.9
46.7,887665.5,88766.6,44383.3,976432.1
46.8,898785.6,89878.6,44939.3,988664.1
46.9,909529.3,90952.9,45476.5,1000482.2
47.0,919859.4,91985.9,45993.0,1011845.4
47.1,929738.7,92973.9,46486.9,1022712.6
47.2,939130.2,93913.0,46956.5,1033043.2
47.3,947997.8,94799.8,47399.9,1042797.6
47.4,956306.1,95630.6,47815.3,1051936.7
47.5,964021.3,96402.1,48201.1,1060423.4
47.6,971110.8,97111.1,48555.5,1068221.8
47.7,977544.2,97754.4,48877.2,1075298.6
47.8,983293.3,98329.3,49164.7,1081622.6
47.9,988332.3,98833.2,49416.6,1087165.5
48.0,992638.4,99263.8,49631.9,1091902.2
48.1,996191.6,99619.2,49809.6,1095810.8
48.2,998975.5,99897.5,49948.8,1098873.0
48.3,1000976.9,100097.7,50048.8,1101074.6
48.4,1002186.3,100218.6,50109.3,1102404.9
48.5,1002598.0,100259.8,50129.9,1102857.9
48.6,1002210.2,100221.0,50110.5,1102431.2
48.7,1001024.7,100102.5,50051.2,1101127.2
48.8,999047.2,99904.7,49952.4,1098952.0
48.9,996287.3,99628.7,49814.4,1095916.0
49.0,992758.0,99275.8,49637.9,1092033.8
49.1,988475.8,98847.6,49423.8,1087323.4
49.2,983460.8,98346.1,49173.0,1081806.8
49.3,977735.6,97773.6,48886.8,1075509.2
49.4,971326.2,97132.6,48566.3,1068458.8
49.5,964260.7,96426.1,48213.0,1060686.8
49.6,956569.6,95657.0,47828.5,1052226.6
49.7,948285.3,94828.5,47414.3,1043113.8
49.8,939441.8,93944.2,46972.1,1033386.0
49.9,930074.4,93007.4,46503.7,1023081.8
50.0,920219.2,92021.9,46011.0,1012241.1
50.1,909913.2,90991.3,45495.7,1000904.5
50.2,899193.7,89919.4,44959.7,989113.0
50.3,888097.8,88809.8,44404.9,976907.6
50.4,876662.9,87666.3,43833.1,964329.1
50.5,864925.4,86492.5,43246.3,951417.9
50.6,852921.4,85292.1,42646.1,938213.6
50.7,840686.1,84068.6,42034.3,924754.8
50.8,828253.7,82825.4,41412.7,911079.0
50.9,815657.0,81565.7,40782.8,897222.6
51.0,802927.6,80292.8,40146.4,883220.4
51.1,790095.8,79009.6,39504.8,869105.4
51.2,777190.4,77719.0,38859.5,854909.4
51.3,764238.5,76423.8,38211.9,840662.3
51.4,751265.6,75126.6,37563.3,826392.2
51.5,738295.9,73829.6,36914.8,812125.4
51.6,725351.5,72535.2,36267.6,797886.7
51.7,712453.4,71245.3,35622.7,783698.7
51.8,699620.6,69962.1,34981.0,769582.6
51.9,686870.7,68687.1,34343.5,755557.8
52.0,674220.0,67422.0,33711.0,741642.0
52.1,661682.9,66168.3,33084.1,727851.1
52.2,649272.6,64927.3,32463.6,714199.9
52.3,637001.2,63700.1,31850.1,700701.3
52.4,624879.1,62487.9,31244.0,687367.0
52.5,612915.7,61291.6,30645.8,674207.3
52.6,601119.2,60111.9,30056.0,661231.2
52.7,589496.8,58949.7,29474.8,648446.4
52.8,578054.4,57805.4,28902.7,635859.9
52.9,566797.4,56679.7,28339.9,623477.2
53.0,555729.9,55573.0,27786.5,611302.9
53.1,544855.5,54485.5,27242.8,599341.0
53.2,534176.7,53417.7,26708.8,587594.4
53.3,523695.7,52369.6,26184.8,576065.2
53.4,513413.7,51341.4,25670.7,564755.1
53.5,503331.6,50333.2,25166.6,553664.8
53.6,493449.7,49345.0,24672.5,542794.6
53.7,483767.6,48376.8,24188.4,532144.3
53.8,474284.7,47428.5,23714.2,521713.2
53.9,465000.1,46500.0,23250.0,511500.1
54.0,455912.2,45591.2,22795.6,501503.4
54.1,447019.4,44701.9,22351.0,491721.3
54.2,438319.7,43832.0,21916.0,482151.6
54.3,429810.8,42981.1,21490.5,472791.9
54.4,421490.4,42149.0,21074.5,463639.4
54.5,413355.7,41335.6,20667.8,454691.3
54.6,405404.0,40540.4,20270.2,445944.5
54.7,397632.5,39763.2,19881.6,437395.7
54.8,390038.0,39003.8,19501.9,429041.8
54.9,382617.4,38261.7,19130.9,420879.1
55.0,375367.5,37536.8,18768.4,412904.3
55.1,368285.1,36828.5,18414.3,405113.6
55.2,361366.9,36136.7,18068.3,397503.6
55.3,354609.4,35460.9,17730.5,390070.4
55.4,348009.5,34800.9,17400.5,382810.4
55.5,341563.6,34156.4,17078.2,375720.0
55.6,335268.5,33526.9,16763.4,368795.4
55.7,329120.8,32912.1,16456.0,362032.9
55.8,323117.1,32311.7,16155.9,355428.9
55.9,317254.2,31725.4,15862.7,348979.6
56.0,311528.8,31152.9,15576.4,342681.7
56.1,305937.6,30593.8,15296.9,336531.3
56.2,300477.4,30047.7,15023.9,330525.1
56.3,295145.0,29514.5,14757.3,324659.5
56.4,289937.4,28993.7,14496.9,318931.2
56.5,284851.5,28485.2,14242.6,313336.7
56.6,279884.3,27988.4,13994.2,307872.8
56.7,275032.9,27503.3,13751.6,302536.2
56.8,270294.2,27029.4,13514.7,297323.7
56.9,265665.6,26566.6,13283.3,292232.2
57.0,261144.2,26114.4,13057.2,287258.6
57.1,256727.3,25672.7,12836.4,282400.0
57.2,252412.2,25241.2,12620.6,277653.4
57.3,248196.4,24819.6,12409.8,273016.0
57.4,244077.2,24407.7,12203.9,268485.0
57.5,240052.3,24005.2,12002.6,264057.5
57.6,236119.2,23611.9,11806.0,259731.1
57.7,232275.5,23227.5,11613.8,255503.0
57.8,228518.9,22851.9,11425.9,251370.8
57.9,224847.3,22484.7,11242.4,247332.0
58.0,221258.3,22125.8,11062.9,243384.1
58.1,217749.9,21775.0,10887.5,239524.8
58.2,214319.9,21432.0,10716.0,235751.9
58.3,210966.5,21096.6,10548.3,232063.1
58.4,207687.5,20768.8,10384.4,228456.3
58.5,204481.1,20448.1,10224.1,224929.2
58.6,201345.5,20134.5,10067.3,221480.0
58.7,198278.7,19827.9,9913.9,218106.6
58.8,195279.1,19527.9,9764.0,214807.0
58.9,192344.9,19234.5,9617.2,211579.4
59.0,189474.5,18947.4,9473.7,208421.9
59.1,186666.2,18666.6,9333.3,205332.8
59.2,183918.5,18391.8,9195.9,202310.3
59.3,181229.7,18123.0,9061.5,199352.7
